,publisher,dagger,author,isbn,price,date,title,weeks_on_list,no_of_words_title
146,Grand Central,0,Sandra Brown,None,0,2014-10-12,MEAN STREAK,5,2
147,Barbara Freethy,0,Barbara Freethy,None,0,2014-08-10,DON'T SAY A WORD,5,4
148,Witness Impulse/HarperCollins,0,Brian McGilloway,None,0,2014-05-11,LITTLE GIRL LOST,5,3
149,"Little, Brown",0,James Patterson and Mark Sullivan,0316211117,0,2014-03-30,PRIVATE L.A.,5,2
150,Simon & Schuster,0,Graeme Simsion,None,0,2014-03-02,THE ROSIE PROJECT,5,3
151,"Little, Brown",0,James Patterson and David Ellis,0316211060,0,2013-09-22,MISTRESS,5,1
152,"Little, Brown",0,Michael Connelly,0316069442,0,2013-05-05,THE BLACK BOX,5,3
153,"Little, Brown & Company",0,James Patterson and Marshall Karp,0316199893,0,2012-11-25,NYPD RED,5,2
154,Colleen Hoover,0,Colleen Hoover,None,0,2012-08-26,SLAMMED,5,1
155,Grand Central Publishing,0,Seth Grahame-Smith,0446571857,0,2012-07-22,ABRAHAM LINCOLN: VAMPIRE HUNTER,5,4
156,Penguin Group,0,John Sandford,None,0,2012-07-08,STOLEN PREY,5,2
157,Penguin Group,0,Patricia Cornwell,None,0,2012-01-22,RED MIST,5,2
158,Legacy,0,CJ Lyons,None,0,2011-10-09,BLIND FAITH,5,2
159,Simon & Schuster,0,Mary Higgins Clark,1439180962,0,2011-05-22,I'LL WALK ALONE,5,3
160,Crown,0,Jean M Auel,0517580519,0,2011-05-22,THE LAND OF PAINTED CAVES,5,5
161,Random House,0,Lisa Gardner,0553908111,0,2011-04-24,LOVE YOU MORE,5,3
162,"Little, Brown",0,James Patterson and Maxine Paetro,0316274046,0,2018-06-09,THE 17TH SUSPECT,4,3
163,Simon & Schuster,0,Mary Higgins Clark,1501171690,0,2018-05-13,I'VE GOT MY EYES ON YOU,4,6
164,"Little, Brown",0,James Patterson and Marshall Karp,0316395587,0,2018-05-06,RED ALERT,4,2
165,Simon & Schuster,0,Mary Higgins Clark,1501131125,0,2018-04-22,"ALL BY MYSELF, ALONE",4,4
166,Grand Central,0,Brad Meltzer,1455559512,0,2018-04-15,THE ESCAPE ARTIST,4,3
167,St. Martin's,0,Nora Roberts,None,0,2018-01-14,YEAR ONE,4,2
168,Putnam,0,Marc Cameron,0735215898,0,2018-01-07,TOM CLANCY POWER AND EMPIRE,4,5
169,Putnam,0,John Sandford,0698407113,0,2017-11-26,DEEP FREEZE,4,2
170,Grand Central,0,Sandra Brown,1455572071,0,2017-11-12,SEEING RED,4,2
171,Dutton,0,Harlan Coben,0698411668,0,2017-11-05,DON'T LET GO,4,3
172,Atria/Emily Bestler,0,Kyle Mills,1476783543,0,2017-10-15,ENEMY OF THE STATE,4,4
173,Marian Wood/Putnam,0,Sue Grafton,0399163859,0,2017-10-01,Y IS FOR YESTERDAY,4,4
174,Pocket Books,0,Stephen King,None,0,2017-08-27,THE GUNSLINGER,4,2
175,Harper,0,Daniel Silva,0062354361,0,2017-08-20,HOUSE OF SPIES,4,3
176,St. Martin's,0,J D Robb,1250123135,0,2017-08-20,ECHOES IN DEATH,4,3
177,Atria/Emily Bestler,0,Brad Thor,1476789401,0,2017-08-06,USE OF FORCE,4,3
178,Harper,0,Michael Crichton,0062473352,0,2017-07-02,DRAGON TEETH,4,2
179,Morrow,0,Neil Gaiman,None,0,2017-06-11,AMERICAN GODS,4,2
180,Dutton,0,Lisa Gardner,0698411439,0,2017-03-12,RIGHT BEHIND YOU,4,3
181,Putnam,0,John Sandford,None,0,2016-11-27,ESCAPE CLAUSE,4,2
182,"Little, Brown",0,James Patterson and Mark Sullivan,031629019X,0,2016-08-07,THE GAMES,4,2
183,St. Martin's,0,Mary Kay Andrews,1466872926,0,2016-06-26,THE WEEKENDERS,4,2
184,St. Martin's Griffin,0,Sylvia Day,1250109310,0,2016-05-15,ONE WITH YOU,4,3
185,"Little, Brown",0,James Patterson and Mark Sullivan,0316408999,0,2016-04-24,PRIVATE PARIS,4,2
186,Berkley,0,Nora Roberts,0425280101,0,2015-12-13,STARS OF FORTUNE,4,3
187,"Mulholland/Little, Brown",0,Robert Galbraith,0316349925,0,2015-11-29,CAREER OF EVIL,4,3
188,Grand Central,0,Sandra Brown,1455581178,0,2015-09-27,FRICTION,4,1
189,"Little, Brown",0,James Patterson and Michael Ledwidge,0316407186,0,2015-09-13,ALERT,4,1
190,Ballantine,0,Paula McLain,0345534190,0,2015-09-06,CIRCLING THE SUN,4,3
191,Random House Publishing,0,Janet Evanovich,034552778X,0,2015-05-24,WICKED BUSINESS,4,2
192,Putnam,0,Mark Greaney,0399173358,0,2015-01-11,TOM CLANCY FULL FORCE AND EFFECT,4,6
193,Penelope Ward,0,Penelope Ward,1942215037,0,2014-11-09,STEPBROTHER DEAREST,4,2
194,Putnam,0,Jan Karon,0399167447,0,2014-10-12,SOMEWHERE SAFE WITH SOMEBODY GOOD,4,5
195,Grand Central,0,James Patterson and Michael White,145552977X,0,2014-10-12,PRIVATE DOWN UNDER,4,3
196,Viking,0,Deborah Harkness,0698163478,0,2014-08-31,THE BOOK OF LIFE,4,4
197,Ballantine,0,Jonathan Kellerman,0345548418,0,2014-03-23,KILLER,4,1
198,"Little, Brown",0,James Patterson and Michael Ledwidge,031621101X,0,2013-11-10,GONE,4,1
199,Soho Press,0,Lene Kaaberbol,1569479828,0,2013-09-08,THE BOY IN THE SUITCASE,4,5
200,Laree Bailey,0,H M Ward,0985547324,0,2013-05-19,DAMAGED,4,1
