,publisher,dagger,author,isbn,price,date,contributor,title,weeks_on_list,ratings_count,reviews_count,text_reviews_count,work_ratings_count,work_reviews_count,work_text_reviews_count,average_rating
157,Soho Press,0,Lene Kaaberbol,1569479828,0,2013-09-08,by Lene Kaaberbol,THE BOY IN THE SUITCASE,4,90,153,20,31744,74512,3259,3.61
158,Random House Publishing,0,Sophie Kinsella,0440334861,0,2011-11-13,by Sophie Kinsella,CAN YOU KEEP A SECRET?,4,7,10,0,372423,607679,12154,3.84
159,Mira,0,Debbie Macomber,0778312518,0,2011-10-09,by Debbie Macomber,1105 YAKIMA STREET,4,8359,15156,386,10321,18638,482,4.15
160,HarperCollins,0,J A Jance,0061758221,0,2011-09-11,by J. A. Jance,UNTIL PROVEN GUILTY,4,99,184,16,10274,18692,726,3.94
161,Simon & Schuster,0,Brad Thor,1416586768,0,2011-09-04,by Brad Thor,FULL BLACK,4,45,80,11,18506,28705,737,4.27
162,"Little, Brown",0,James Patterson and Neil McMahon,0316097373,0,2011-04-24,by James Patterson and Neil McMahon,TOYS,4,29,78,7,11978,22513,1330,3.37
163,Random House,0,Lisa Gardner,0553901133,0,2011-03-20,by Lisa Gardner,ALONE,4,108,200,32,53828,102924,2352,3.96
164,Penguin,0,Shari Lapena,0525505318,0,2018-06-09,by Shari Lapena,THE COUPLE NEXT DOOR,3,827,1338,92,327118,642636,24729,3.78
165,St. Martin's,0,Mary Kay Andrews,1250126096,0,2018-06-09,by Mary Kay Andrews,THE HIGH TIDE CLUB,3,6,17,2,18127,43598,2124,4.01
166,St. Martin's,0,Lisa Scottoline,1250099676,0,2018-05-13,by Lisa Scottoline,AFTER ANNA,3,24,32,7,31119,67913,3733,3.83
167,"Little, Brown",0,James Patterson and Candice Fox,0316513229,0,2018-03-25,by James Patterson and Candice Fox,FIFTY FIFTY,3,461,848,54,10861,31217,863,3.89
168,St. Martin's,0,JD Robb,125016155X,0,2018-03-04,by J.D. Robb,DARK IN DEATH,3,7,21,1,17339,37442,1552,4.29
169,Tor,0,Brandon Sanderson,076532637X,0,2017-12-17,by Brandon Sanderson,OATHBRINGER,3,76759,140163,5376,120167,236489,7966,4.61
170,Vintage,0,Jo Nesbo,0525435921,0,2017-11-12,by Jo Nesbo,THE SNOWMAN,3,130,281,20,108388,182989,8299,4.01
171,Scribner,0,Jennifer Egan,1476716757,0,2017-11-05,by Jennifer Egan,MANHATTAN BEACH,3,52,96,14,71629,191515,7876,3.62
172,"Little, Brown",0,James Patterson and James O Born,031627397X,0,2017-10-22,by James Patterson and James O. Born,HAUNTED,3,7974,17633,751,14675,35552,1000,3.99
173,Viking,0,John le CarrÃÂ©,0735225117,0,2017-10-08,by John le CarrÃÂ©,A LEGACY OF SPIES,3,8940,17712,1339,17698,34627,1858,3.89
174,"Little, Brown",0,James Patterson and Richard DiLallo,0316395455,0,2017-09-17,by James Patterson and Richard DiLallo,THE STORE,3,700,1197,145,9020,22444,1269,3.26
175,Scout,0,Ruth Ware,1501156004,0,2017-08-27,by Ruth Ware,THE LYING GAME,3,75248,147749,6520,105661,221609,9410,3.53
176,Putnam,0,Clive Cussler and Graham Brown,0399184015,0,2017-07-02,by Clive Cussler and Graham Brown,NIGHTHAWK,3,272,679,26,5544,10809,340,4.24
177,Bantam,0,Janet Evanovich and Phoef Sutton,0553392697,0,2017-06-18,by Janet Evanovich and Phoef Sutton,CURIOUS MINDS,3,24,50,8,20536,46025,2385,3.68
178,Morrow/HarperCollins,0,Greg Iles,0062311158,0,2017-04-23,by Greg Iles,MISSISSIPPI BLOOD,3,2327,14630,218,18083,47445,1866,4.43
179,Zebra,0,Lisa Jackson,1420136070,0,2017-04-02,by Lisa Jackson,EXPECTING TO DIE,3,213,1691,32,3747,10361,319,4.03
180,Washington Square,0,Fredrik Backman,1501115073,0,2017-03-12,by Fredrik Backman,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY,3,4695,10503,737,151322,367164,20599,4.05
181,Ballantine,0,J P Delaney,0425285057,0,2017-02-26,by J P Delaney,THE GIRL BEFORE,3,78,136,25,119391,250838,10474,3.69
182,Delacorte,0,Danielle Steel,0345531116,0,2017-02-05,by Danielle Steel,THE MISTRESS,3,255,536,32,8994,19454,599,3.84
183,Berkley,0,Nora Roberts,0425280128,0,2017-01-08,by Nora Roberts,ISLAND OF GLASS,3,10086,21576,922,17551,35759,1283,4.24
184,Grand Central,0,James Patterson and Kathryn Fox,1455568139,0,2016-11-06,by James Patterson and Kathryn Fox,MISSING,3,3,6,1,7333,18141,505,3.79
185,"Little, Brown",0,James Patterson and Maxine Paetro,031627402X,0,2016-10-30,by James Patterson and Maxine Paetro,WOMAN OF GOD,3,9222,21437,1371,12886,27802,1609,3.83
186,Gallery Books,0,Catherine Coulter,1501150316,0,2016-09-11,by Catherine Coulter,INSIDIOUS,3,12,42,1,7363,17513,616,4.06
